model,domain,concept,run,job_done,n_eval,locus,arm,alphas_admissible,alphas_monotone,alpha_used,degraded_at_every_alpha,baseline_p_yes,concept_effect,concept_slope,n_random,rand_mean,rand_sd,rand_p95_abs,sham_effect,beats_sham,n_unrelated,unrel_mean,unrel_max_abs,beats_all_unrelated,rand_rank,n_random_expected,full_random_band,sign_as_expected,selective,effect_size_z,dead_locus,alpha_extreme,concept_effect_extreme,rand_mean_extreme
internvl3_8b,general,Effusion,int_internvl3_8b_effusion,True,96,vis.last,pos,0.25,0.25,0.25,False,0.35206304511909065,-0.010701566042068122,-0.04280626416827256,16,-0.008841484516172709,0.0342270114996531,0.062489867389861786,-0.004193722425649582,True,5,0.00010090932288826515,0.021315017307642847,False,3,16,True,False,False,-0.054345426153091576,False,1.0,-0.09334977808369638,-0.0759363022608947
internvl3_8b,general,Pneumothorax,int_internvl3_8b_pneumothorax,True,96,connector,neg,-0.25|-0.5|-1,-0.25|-0.5|-1,-1.0,False,0.0517278456245549,0.010422250876824059,-0.010525361643660606,16,0.002382179052726011,0.030217938133872364,0.05143145930469473,-0.02475565636026052,False,4,-0.011062906624526175,0.04196012714722504,False,4,16,True,False,False,0.26606950442742633,False,-1.0,0.010422250876824059,0.002382179052726011
internvl3_8b,general,Pneumothorax,int_internvl3_8b_pneumothorax,True,96,connector,pos,0.25|0.5|1,0.25|0.5|1,1.0,False,0.0517278456245549,-0.002333456252623968,-0.0019526849118327548,16,-0.004363941577139486,0.029732821471814247,0.06329521667794324,0.024091308073063075,False,4,0.006574651027525155,0.03622859673729788,False,2,16,True,False,False,0.06829104080957646,False,1.0,-0.002333456252623968,-0.004363941577139486
internvl3_8b,general,Pneumothorax,int_internvl3_8b_pneumothorax,True,96,llm.L0.vis,neg,-0.25|-0.5|-1,-0.25|-0.5|-1,-1.0,False,0.0517278456245549,0.023003850549381852,-0.023298601927013954,16,0.0009392510361673594,0.03558387609562438,0.05235167115946146,0.02435346762649715,False,4,0.008050850014114985,0.04917670227587223,False,9,16,True,False,False,0.6200729637749525,False,-1.0,0.023003850549381852,0.0009392510361673594
internvl3_8b,general,Pneumothorax,int_internvl3_8b_pneumothorax,True,96,llm.L0.vis,pos,0.25|0.5|1,0.25|0.5|1,1.0,False,0.0517278456245549,-0.021726939545866724,-0.021944982830124596,16,0.019713506280822912,0.03282246728839539,0.07058304999372922,0.007482268760213628,True,4,0.036042798302029645,0.09618252195650712,False,9,16,True,False,False,-1.262563397887556,False,1.0,-0.021726939545866724,0.019713506280822912
internvl3_8b,general,Pneumothorax,int_internvl3_8b_pneumothorax,True,96,llm.L14.ans,neg,-0.25|-0.5,-0.25|-0.5,-0.5,False,0.0517278456245549,0.006079929735278711,-0.012159859470557387,16,0.010352340430623976,0.023812002881547913,0.037894723873857096,-0.009440061063893758,False,4,0.035780609550177665,0.12647541482389593,False,2,16,True,False,False,-0.1794225675428582,False,-1.0,0.20257031512058649,0.06190511014180326
internvl3_8b,general,Pneumothorax,int_internvl3_8b_pneumothorax,True,96,llm.L14.ans,pos,0.25|0.5,0.25|0.5,0.5,False,0.0517278456245549,0.005903156687660761,0.011806313375321537,16,0.006932484045516199,0.03010335169437141,0.04348365000472161,-0.031980928207000645,False,4,-6.051015770935919e-05,0.04309865684869389,False,2,16,True,True,False,-0.03419311471711959,False,1.0,0.23866504774196073,0.06185397087297892
internvl3_8b,general,Pneumothorax,int_internvl3_8b_pneumothorax,True,96,llm.L14.vis,neg,-0.25|-0.5|-1,-0.25|-0.5,-0.5,False,0.0517278456245549,-0.01789065471772725,0.03578130943545454,16,0.0044862909915840046,0.025694825160207165,0.05814575431819928,0.021755863378833354,False,4,0.001362799005922474,0.02846115274587646,False,11,16,True,True,False,-0.8708736319391575,False,-1.0,0.013323158821246281,0.00918018831066547
internvl3_8b,general,Pneumothorax,int_internvl3_8b_pneumothorax,True,96,llm.L14.vis,pos,0.25|0.5|1,0.25|0.5|1,1.0,False,0.0517278456245549,0.06383799472435688,0.06536822452963814,16,0.006768960766748929,0.08095038338355008,0.1079886774762902,-0.03548188675389004,True,4,0.02219094274308494,0.07031698301822568,False,15,16,True,True,False,0.7049878156501102,False,1.0,0.06383799472435688,0.006768960766748929
internvl3_8b,general,Pneumothorax,int_internvl3_8b_pneumothorax,True,96,llm.L21.ans,neg,-0.25|-0.5,-0.25|-0.5,-0.5,False,0.0517278456245549,0.005831244828489922,-0.011662489656979831,16,0.012938485018821664,0.018539478883997627,0.040057354771609724,0.05184029832404728,False,4,0.0175216796026992,0.040693836577702314,False,4,16,True,False,False,-0.383357063852877,False,-1.0,0.11946594577360278,0.07854944093802865
internvl3_8b,general,Pneumothorax,int_internvl3_8b_pneumothorax,True,96,llm.L21.ans,pos,0.25|0.5,0.25|0.5,0.5,False,0.0517278456245549,0.0154941496051227,0.03098829921024542,16,0.009938045483977476,0.020295661454445727,0.04336003618664108,-0.01089536068805804,True,4,0.0032771427953169506,0.03384151282565047,False,10,16,True,True,False,0.27375821840623826,False,1.0,0.03943319570195551,0.07348594419666674
internvl3_8b,general,Pneumothorax,int_internvl3_8b_pneumothorax,True,96,llm.L21.vis,neg,-0.25|-0.5|-1,-0.25|-0.5|-1,-1.0,False,0.0517278456245549,0.011911010524878904,-0.012218942207151208,16,0.002870844484277768,0.0040701253895394866,0.009790671620673187,0.0016235075017903,True,4,0.0015742588147986663,0.003922875679563731,True,16,16,True,False,True,2.221102589083621,False,-1.0,0.011911010524878904,0.002870844484277768
internvl3_8b,general,Pneumothorax,int_internvl3_8b_pneumothorax,True,96,llm.L21.vis,pos,0.25|0.5|1,0.25|0.5|1,1.0,False,0.0517278456245549,0.0010652181323772894,0.001492678851909198,16,0.0020729791861716276,0.004281747860608683,0.008530402444497062,0.00027581644826568663,True,4,0.004594698145713966,0.009291605742570631,False,5,16,True,True,False,-0.23536207329384343,False,1.0,0.0010652181323772894,0.0020729791861716276
internvl3_8b,general,Pneumothorax,int_internvl3_8b_pneumothorax,True,96,llm.L26.vis,neg,-0.25|-0.5|-1,-0.25|-0.5|-1,-1.0,False,0.0517278456245549,0.002463283123991765,-0.0024774427170909056,16,0.0004656975558342915,0.003584699134742196,0.0077480767613451445,-0.0053689630197671576,False,4,0.0016134236696719508,0.007732171963046618,False,11,16,True,False,False,0.5572533406771208,False,-1.0,0.002463283123991765,0.0004656975558342915
internvl3_8b,general,Pneumothorax,int_internvl3_8b_pneumothorax,True,96,llm.L26.vis,pos,0.25|0.5|1,0.25|0.5|1,1.0,False,0.0517278456245549,0.00352773375925608,0.003638804074199419,16,-0.0019642344116922073,0.0028185490882355066,0.006089631846407428,-0.0023140872751052158,True,4,-0.0019705473217375893,0.004337769350968301,False,11,16,True,True,False,1.9485089665003557,False,1.0,0.00352773375925608,-0.0019642344116922073
internvl3_8b,general,Pneumothorax,int_internvl3_8b_pneumothorax,True,96,llm.L27.ans,neg,-0.25,-0.25,-0.25,True,0.0517278456245549,0.004575355793349445,-0.018301423173397738,16,0.02150693258742346,0.04055741194334071,0.09221339949484295,0.108279564359691,False,4,0.035166347149546105,0.1395086579529258,False,2,16,True,False,False,-0.4174718253158676,False,-1.0,0.053193694426833346,0.1980970715779525
internvl3_8b,general,Pneumothorax,int_internvl3_8b_pneumothorax,True,96,llm.L27.ans,pos,0.25|0.5,0.25|0.5,0.5,False,0.0517278456245549,0.01268062404900168,0.025361248098003414,16,0.0198876099878665,0.0628520534118782,0.14720193890389055,-0.045268582363254005,False,4,0.027502369673432742,0.12068260610491657,False,1,16,True,True,False,-0.11466587880011565,False,1.0,0.04604450312520687,0.08392409281623259
internvl3_8b,general,Pneumothorax,int_internvl3_8b_pneumothorax,True,96,llm.L27.vis,neg,-0.25|-0.5|-1,-0.25|-0.5|-1,-1.0,False,0.0517278456245549,0.0,1.8605247284267274e-18,16,0.0,0.0,0.0,0.0,False,4,0.0,0.0,False,0,16,True,False,False,nan,True,-1.0,0.0,0.0
internvl3_8b,general,Pneumothorax,int_internvl3_8b_pneumothorax,True,96,llm.L27.vis,pos,0.25|0.5|1,0.25|0.5|1,1.0,False,0.0517278456245549,0.0,-8.949769356374314e-18,16,0.0,0.0,0.0,0.0,False,4,0.0,0.0,False,0,16,True,False,False,nan,True,1.0,0.0,0.0
internvl3_8b,general,Pneumothorax,int_internvl3_8b_pneumothorax,True,96,llm.L7.ans,neg,-0.25|-0.5,-0.25|-0.5,-0.5,False,0.0517278456245549,-0.021800853646709584,0.04360170729341913,16,0.0021366108412621543,0.012366778326253327,0.02437981797993416,0.011641381434552997,True,4,-0.0012737396185305734,0.006798366928705946,True,14,16,True,True,False,-1.9356265517556097,False,-1.0,-0.028611843420852285,0.02014310709273559
internvl3_8b,general,Pneumothorax,int_internvl3_8b_pneumothorax,True,96,llm.L7.ans,pos,0.25|0.5|1,0.25|0.5|1,1.0,False,0.0517278456245549,0.020254743479502693,0.01923850553132415,16,0.01746790105744367,0.02901862892642014,0.0564491132972762,-0.019418862461558696,True,4,0.01888316946012007,0.06599428929621354,False,6,16,True,True,False,0.09603632305045712,False,1.0,0.020254743479502693,0.01746790105744367
internvl3_8b,general,Pneumothorax,int_internvl3_8b_pneumothorax,True,96,llm.L7.vis,neg,-0.25|-0.5,-0.25|-0.5,-0.5,False,0.0517278456245549,0.019584551055838048,-0.03916910211167607,16,0.017041049009094422,0.030320549239044252,0.06398884056640479,0.047815556249891714,False,4,0.007592672403310036,0.019697194948093966,False,5,16,True,False,False,0.08388707033935645,False,-1.0,0.33955538670610014,0.06316069251973508
internvl3_8b,general,Pneumothorax,int_internvl3_8b_pneumothorax,True,96,llm.L7.vis,pos,0.25|0.5,0.25|0.5,0.5,False,0.0517278456245549,-0.011660701604948066,-0.023321403209896105,16,0.0029527814338810776,0.032157297014117014,0.057181200337557435,-0.03115494166559074,False,4,0.018655392235814368,0.1148402521115107,False,5,16,True,False,False,-0.4544375428200276,False,1.0,-0.04658785901059067,0.056202258501211105
internvl3_8b,general,Pneumothorax,int_internvl3_8b_pneumothorax,True,96,vis.last,neg,-0.25|-0.5|-1,-0.25|-0.5,-0.5,False,0.0517278456245549,0.00665490044048056,-0.013309800880961094,16,-0.0028217470256398287,0.013569296688194262,0.024041727258008905,-0.00267093422007747,True,4,-0.005124447530154914,0.012944288255918458,False,4,16,True,False,False,0.698388994203759,False,-1.0,-0.012894132552901283,0.0025578165074572703
internvl3_8b,general,Pneumothorax,int_internvl3_8b_pneumothorax,True,96,vis.last,pos,0.25|0.5|1,0.25|0.5|1,1.0,False,0.0517278456245549,-0.027244853336014785,-0.026764421885655757,16,0.007849186478855096,0.048706985260802395,0.10406125024989403,-0.011071183165768161,True,4,0.0020693996096573155,0.02039065951248631,True,7,16,True,False,False,-0.720513487479429,False,1.0,-0.027244853336014785,0.007849186478855096
lingshu7b,medical,Cardiomegaly,int_lingshu7b_cardiomegaly,True,96,connector,neg,-0.25|-0.5,-0.25|-0.5,-0.5,False,0.21793141380961364,-0.005275309915305115,0.0105506198306102,16,0.008303687301122397,0.022827947468285936,0.04065532255602494,0.004750388766600111,True,4,0.014068121479795068,0.04580341320252043,False,3,16,True,True,False,-0.5948409174890705,False,-1.0,0.0037702080104888014,0.02089599865485069
lingshu7b,medical,Cardiomegaly,int_lingshu7b_cardiomegaly,True,96,connector,pos,0.25,0.25,0.25,False,0.21793141380961364,0.01425887288254063,0.05703549153016231,16,0.007010210464917073,0.010694321279339595,0.02331919179535663,0.009896623669192195,True,4,0.0014751375614044451,0.019182100814456732,False,12,16,True,True,False,0.6778048113840828,False,1.0,0.06950879749880792,0.05562982894146746
