arch,domain,concept,beta,dh_norm,locus,placement,cos_probe,cos_random,cos_cad,cos_cad_nospec,cos_sham
lingshu7b,medical,nodule,0.1,1.1238,llm.L14.vis,anatomical,-0.0012,0.0199,,,
lingshu7b,medical,nodule,0.1,2.0669,llm.L21.vis,anatomical,-0.0028,0.0152,,,
lingshu7b,medical,nodule,0.2,61.8727,vis.last,anatomical,0.0034,-0.0108,,,
lingshu7b,medical,nodule,0.2,1.2645,connector,anatomical,0.0093,0.0194,,,
lingshu7b,medical,nodule,0.2,1.3601,llm.L7.vis,anatomical,0.0021,0.0024,,,
lingshu7b,medical,nodule,0.2,2.1157,llm.L14.vis,anatomical,0.0017,0.0075,,,
lingshu7b,medical,nodule,0.2,3.9305,llm.L21.vis,anatomical,0.0046,0.0223,,,
lingshu7b,medical,nodule,0.3,91.3468,vis.last,anatomical,0.0006,-0.0127,,,
lingshu7b,medical,nodule,0.3,2.1414,connector,anatomical,0.0058,0.0206,,,
lingshu7b,medical,nodule,0.3,2.2268,llm.L7.vis,anatomical,-0.0002,0.004,,,
lingshu7b,medical,nodule,0.3,3.6763,llm.L14.vis,anatomical,0.0005,0.007,,,
lingshu7b,medical,nodule,0.3,6.9996,llm.L21.vis,anatomical,0.0046,0.0116,,,
lingshu7b,medical,nodule,0.45,154.6834,vis.last,anatomical,0.0,-0.013,,,
lingshu7b,medical,nodule,0.45,3.3742,connector,anatomical,0.0025,0.0218,,,
lingshu7b,medical,nodule,0.45,3.4174,llm.L7.vis,anatomical,-0.0039,0.0055,,,
lingshu7b,medical,nodule,0.45,5.1682,llm.L14.vis,anatomical,0.0013,0.0023,,,
lingshu7b,medical,nodule,0.45,9.5285,llm.L21.vis,anatomical,0.003,0.0017,,,
lingshu7b,medical,nodule,0.6,192.6014,vis.last,anatomical,-0.0003,-0.0129,,,
lingshu7b,medical,nodule,0.6,4.0657,connector,anatomical,0.0008,0.0217,,,
