run_id,model_key,dataset_id,module,locus_id,fit_seed,template_id,concept,expected_rows,actual_unique_rows,failed_rows,execution_status,baseline_module,baseline_fit_seed,reason
cf-transfer-v1:lingshu-32:coco:mayo,lingshu-32,coco,LOCUS_CALIBRATION,connector,0,IY,bicycle,400,400,0,COMPLETE,,,
cf-transfer-v1:lingshu-32:coco:mayo,lingshu-32,coco,ALTDIR,vis.last,0,IY,person,14400,14400,0,COMPLETE,CORE,0,
cf-transfer-v1:lingshu-32:coco:mayo,lingshu-32,coco,ALTDIR,vis.last,0,IY,dog,14400,14400,0,COMPLETE,CORE,0,
cf-transfer-v1:lingshu-32:coco:mayo,lingshu-32,coco,ALTDIR,vis.last,0,IY,car,14400,14400,0,COMPLETE,CORE,0,
cf-transfer-v1:lingshu-32:coco:mayo,lingshu-32,coco,ALTDIR,vis.last,0,IY,chair,14400,14400,0,COMPLETE,CORE,0,
cf-transfer-v1:lingshu-32:coco:mayo,lingshu-32,coco,ALTDIR,vis.last,0,IY,bottle,14400,14400,0,COMPLETE,CORE,0,
cf-transfer-v1:lingshu-32:coco:mayo,lingshu-32,coco,ALTDIR,vis.last,0,IY,bicycle,14400,14400,0,COMPLETE,CORE,0,
cf-transfer-v1:lingshu-32:coco:mayo,lingshu-32,coco,EXTCOMP,vis.last,,,,0,0,0,NOT_REQUESTED,CORE,,module not requested for this dataset by protocol
cf-transfer-v1:lingshu-32:coco:mayo,lingshu-32,coco,TOKENW,vis.last,0,IY,person,7200,0,0,NOT_STARTED,CORE,0,
cf-transfer-v1:lingshu-32:coco:mayo,lingshu-32,coco,TOKENW,vis.last,0,IY,dog,7200,0,0,NOT_STARTED,CORE,0,
cf-transfer-v1:lingshu-32:coco:mayo,lingshu-32,coco,TOKENW,vis.last,0,IY,car,7200,0,0,NOT_STARTED,CORE,0,
cf-transfer-v1:lingshu-32:coco:mayo,lingshu-32,coco,TOKENW,vis.last,0,IY,chair,7200,0,0,NOT_STARTED,CORE,0,
cf-transfer-v1:lingshu-32:coco:mayo,lingshu-32,coco,TOKENW,vis.last,0,IY,bottle,7200,0,0,NOT_STARTED,CORE,0,
cf-transfer-v1:lingshu-32:coco:mayo,lingshu-32,coco,TOKENW,vis.last,0,IY,bicycle,7200,0,0,NOT_STARTED,CORE,0,
cf-transfer-v1:lingshu-32:coco:mayo,lingshu-32,coco,PRECISION,vis.last,0,IY,person,50800,0,0,NOT_STARTED,,,
cf-transfer-v1:lingshu-32:coco:mayo,lingshu-32,coco,PRECISION,vis.last,0,IY,dog,50800,0,0,NOT_STARTED,,,
cf-transfer-v1:lingshu-32:coco:mayo,lingshu-32,coco,PRECISION,vis.last,0,IY,car,50800,0,0,NOT_STARTED,,,
cf-transfer-v1:lingshu-32:coco:mayo,lingshu-32,coco,PRECISION,vis.last,0,IY,chair,50800,0,0,NOT_STARTED,,,
