concept,locus,dim,real,perm,control,selectivity,nuis_view_AP,nuis_sex_M
Atelectasis,vis.block16,1280,0.7304965860008764,0.4698300823410125,0.9988072754743296,-0.26831068947345316,0.9988122875323242,0.990154445370336
Atelectasis,vis.block20,1280,0.7323222847683689,0.44631985050334555,0.9987600604352501,-0.2664377756668812,0.9987666705407211,0.9901484017940179
Atelectasis,vis.block24,1280,0.7250171191008526,0.4725638892971584,0.9985069151872621,-0.27348979608640944,0.9984416131562891,0.9898133032623935
Atelectasis,vis.block28,1280,0.7228348147310285,0.476039354628524,0.9987075427840892,-0.27587272805306073,0.9986593108057065,0.9887791407029887
Atelectasis,vis.block4,1280,0.6679967976613717,0.49548384234578075,0.9993217014847313,-0.33132490382335966,0.9993217014847314,0.9532583408463282
Atelectasis,vis.block8,1280,0.7029505811689213,0.47619208884186826,0.9993552604817386,-0.29640467931281733,0.9993552604817386,0.9837365228248103
Atelectasis,vis.last,1280,0.7321377168165448,0.47519745384277245,0.9981573786210303,-0.26601966180448544,0.9981446668797396,0.9858683410454108
Atelectasis,connector,3584,0.7159621137873275,0.504831785784678,0.9987142981666037,-0.2827521843792762,0.9987066711218293,0.987852838205641
Atelectasis,llm.L0.ans,3584,0.7004533259822232,0.500890667363848,0.9982438184618067,-0.29779049247958345,0.9982885637911497,0.9730234661403303
Atelectasis,llm.L0.vis,3584,0.706943683407375,0.48826571147389536,0.998629238457739,-0.291685555050364,0.9986348316239069,0.9870813223629388
Atelectasis,llm.L1.ans,3584,0.6880920144051054,0.48790927519995986,0.9986487055815441,-0.3105566911764387,0.9986909085626289,0.9742144061795213
Atelectasis,llm.L1.vis,3584,0.7050946173212111,0.4840167540288306,0.9984637679053956,-0.29336915058418445,0.9984782956097277,0.98748403784843
Atelectasis,llm.L2.ans,3584,0.6782018814416755,0.49290920408203354,0.9985518057936484,-0.32034992435197296,0.9985838393817009,0.973296991294406
Atelectasis,llm.L2.vis,3584,0.709502912787071,0.4951169077112828,0.9982956097277509,-0.2887926969406799,0.9983460935003052,0.9866213706546686
Atelectasis,llm.L3.ans,3584,0.6875305214434094,0.4865619291516444,0.9987493099340442,-0.3112187884906348,0.99875831711073,0.970896767184376
